,Title,Link,Image,Author,Date,time,key takeaways / Agenda,†Free/Paid
54,Webinar: Optimize to Learn Early in Your PM Career by fmr Uber PM,https://www.eventbrite.com/e/webinar-how-to-keep-your-team-motivated-by-fmr-uber-pm-tickets-108443439246?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/15160145/uber_logo_square.png,Anthony Emberley,"Friday, July 17th, 2020",2:00PM - 2:30PM (PT) ,,Free
55,Webinar: Level Up Your Tech Skills to Build Better Products by Upwork PM,https://www.eventbrite.com/e/webinar-level-your-tech-skills-to-build-better-products-by-upwork-pm-tickets-108439336976?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/06/08102839/Upwork.png,Rachel Moore,"Saturday, July 18th, 2020",11:30AM - 12:00PM (PT) ,,Free
56,Webinar: What Sucks About Product Management by Salesforce Sr PM,https://www.eventbrite.com/e/webinar-what-sucks-about-product-management-by-salesforce-sr-pm-tickets-108701767914?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/12/17182456/salesforce_.jpg,Martie Burris,"Monday, July 20th, 2020",11:30AM - 12:00PM (PT) ,,Free
57,Product Management Live Chat by Expedia Senior Product Manager,https://www.eventbrite.com/e/product-management-live-chat-by-expedia-senior-product-manager-tickets-101055565918?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/08/17123633/Expedia.png,Laura Edwards,"Tuesday, July 21st, 2020",10:30AM - 11:00AM (PT) ,,Free
58,Fireside Chat with fmr Tinder CPO,https://www.eventbrite.com/e/fireside-chat-with-fmr-tinder-cpo-tickets-109291343350?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/08/11134423/tinder-square-1.png,Carlos Gonz√°lez De Villaumbrosia and Ravi Mehta,"Tuesday, July 21st, 2020",11:30AM - 12:00PM (PT) ,,Free
59,Webinar: Being a Remote Product Manager by Groupon Sr PM,https://www.eventbrite.com/e/webinar-being-a-remote-product-manager-by-groupon-sr-pm-tickets-108967298122?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2017/11/08103840/joboffer-groupon.png,Gary Webb,"Tuesday, July 21st, 2020",2:00PM - 2:30PM (PT) ,,Free
60,Webinar: Why Retention is the New Growth for Product Leaders,https://www.eventbrite.com/e/webinar-why-retention-is-the-new-growth-for-product-leaders-tickets-109291716466?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2016/12/08134030/Pendo.io-square6.png,Bella Renney and Chad Burnette,"Wednesday, July 22nd, 2020",11:30AM - 12:00PM (PT) ,,Free
61,Fireside Chat with Mixpanel VP of Product,https://www.eventbrite.com/e/fireside-chat-with-mixpanel-ceo-tickets-103417979962?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2020/04/02092451/card-mixpanel.png,Carlos Gonz√°lez De Villaumbrosia and Neil Rahilly,"Wednesday, July 22nd, 2020",1:00PM - 1:30PM (PT) ,,Free
62,"Webinar: Communicating with Humans, the PM Way by Expedia PM",https://www.eventbrite.com/e/webinar-communicating-with-humans-the-pm-way-by-expedia-pm-tickets-109366947484?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2018/10/30140232/Expedia-Group-square.jpg,Swathi Kantharaja,"Wednesday, July 22nd, 2020",2:00PM - 2:30PM (PT) ,,Free
63,Product Management Live Chat by fmr Amex Dir of Digital Product,https://www.eventbrite.com/e/product-management-live-chat-by-fmr-amex-dir-of-digital-product-tickets-105083485534?aff=pswebsite,https://assets.productschool.com/wp-content/uploads/2019/01/24140715/american_express.png,Michael Mayers,"Thursday, July 23rd, 2020",10:30AM - 11:00AM (PT) ,,Free
